country_name,population,nominal_gdp_usd,gdp_per_capita_usd,gdp_per_capita_ppp,hdi,gini,area_sq_km
South Sudan,11088772,13590000000,1276,1686,0.381,46.3,644329
Spain,47519628,1580910000000,32626,50479,0.911,33,505992
Sri Lanka,21893579,74400000000,3391,15286,0.78,39.8,65610
Sudan,48109006,51660000000,1072,3112,0.516,34.2,1861484
Suriname,623236,3620000000,5714,14271,0.69,57.9,163820
Sweden,10549000,622940000000,57700,67228,0.952,28.8,450295
Switzerland,8851431,905680000000,101162,84469,0.967,32.7,41284
Syria,23227014,11180000000,637,2900,0.557,30.8,185180
Tajikistan,10143545,11800000000,1144,5612,0.686,34,143100
Tanzania,67438106,85420000000,1260,3499,0.532,40.5,947300
Thailand,71801279,512190000000,7098,22379,0.803,35.1,513120
Timor-Leste,1360587,3620000000,2631,5110,0.566,28.7,14874
Togo,9053799,8780000000,980,2666,0.547,42.4,56785
Tonga,100209,493000000,4888,6496,0.739,27.1,748
Trinidad and tobago,1508635,27887000000,19621,30718,0.814,39,5131
Tunisia,11972169,52636000000,4396,14718,0.732,33.7,163610
Turkey,85664944,1437000000000,16709,42451,0.853,44.4,783562
Turkmenistan,7057841,89054000000,12934,19938,0.744,40.8,491210
Tuvalu,10643,63000000,6113,6076,0.653,39,25.14
Uganda,49283041,52390000000,1163,3222,0.582,42,241038
Ukraine,32862000,205740000000,4243,15357,0.734,25.6,603500
United Arab Emirates,9516871,509180000000,53708,96881,0.937,26,83600
United Kingdom,67736802,3344000000000,48913,57624,0.94,35.1,243610
United States,339996563,27360930000000,78423,80035,0.927,41.5,9833520
Uruguay,3423108,76190000000,21950,29624,0.83,39.4,176215
Uzbekistan,36800000,90390000000,2513,10996,0.727,35,447400
Vanuatu,334919,1010000000,2977,3302,0.583,37.6,12189
Venezuela,28838499,91570000000,3239,12196,0.69,44.8,916445
Vietnam,98858950,433350000000,4333,14332,0.726,35.7,331212
Yemen,34449825,21050000000,618,1413,0.424,36.7,527968
Zambia,20569737,29780000000,1457,4023,0.569,57.1,752612
Zimbabwe,16665409,35700000000,2097,4470,0.55,50.3,390757
